acKey	anNo	acProduct	anProductQty	acIdent	anTotalTime
256P100000332	20	KAPSULA ALMADEA	65000	DO-TEHTANJE	1,0075
256P100000332	30	KAPSULA ALMADEA	65000	DO-KAPSULIRANJE	8,50417
256P100000332	40	KAPSULA ALMADEA	65000	DO-ČIŠČENJE	1,51667
256P100000332	50	KAPSULA ALMADEA	65000	DO-MEŠANJE	0,108333
256P100000333	20	KAPSULA ALMADEA	65000	DO-TEHTANJE	1,0075
256P100000333	30	KAPSULA ALMADEA	65000	DO-KAPSULIRANJE	8,50417
256P100000333	40	KAPSULA ALMADEA	65000	DO-ČIŠČENJE	1,51667
256P100000333	50	KAPSULA ALMADEA	65000	DO-MEŠANJE	0,108333
256P100000635	20	KAPSULA ALMADEA	40000	DO-TEHTANJE	0,62
256P100000635	30	KAPSULA ALMADEA	40000	DO-KAPSULIRANJE	5,23333
256P100000635	40	KAPSULA ALMADEA	40000	DO-ČIŠČENJE	0,933333
256P100000635	50	KAPSULA ALMADEA	40000	DO-MEŠANJE	0,0666667
256P100000821	28	KAPSULA IMUNOSUN	100000	DO-TEHTANJE	2
256P100000821	38	KAPSULA IMUNOSUN	100000	DO-KAPSULIRANJE	16,6667
256P100000821	48	KAPSULA IMUNOSUN	100000	DO-ČIŠČENJE	2
256P100000821	58	KAPSULA IMUNOSUN	100000	DO-MEŠANJE	0,5
256P100000826	20	KAPSULA ALMADEA	102000	DO-TEHTANJE	1,581
256P100000826	30	KAPSULA ALMADEA	102000	DO-KAPSULIRANJE	13,345
256P100000826	40	KAPSULA ALMADEA	102000	DO-ČIŠČENJE	2,38
256P100000826	50	KAPSULA ALMADEA	102000	DO-MEŠANJE	0,17
256P100000849	24	KAPSULA PEGASTI	60000	DO-TEHTANJE	0,8
256P100000849	34	KAPSULA PEGASTI	60000	DO-KAPSULIRANJE	9
256P100000849	44	KAPSULA PEGASTI	60000	DO-ČIŠČENJE	0,8
256P100000849	54	KAPSULA PEGASTI	60000	DO-MEŠANJE	0,16
256P100000850	24	KAPSULA PEGASTI	55000	DO-TEHTANJE	0,733333
256P100000850	34	KAPSULA PEGASTI	55000	DO-KAPSULIRANJE	8,25
256P100000850	44	KAPSULA PEGASTI	55000	DO-ČIŠČENJE	0,733333
256P100000850	54	KAPSULA PEGASTI	55000	DO-MEŠANJE	0,146667
256P100000851	24	KAPSULA PEGASTI	185000	DO-TEHTANJE	2,46667
256P100000851	34	KAPSULA PEGASTI	185000	DO-KAPSULIRANJE	27,75
256P100000851	44	KAPSULA PEGASTI	185000	DO-ČIŠČENJE	2,46667
256P100000851	54	KAPSULA PEGASTI	185000	DO-MEŠANJE	0,493333
256P100001366	24	KAPSULA PEGASTI	155000	DO-TEHTANJE	2,06667
256P100001366	34	KAPSULA PEGASTI	155000	DO-KAPSULIRANJE	23,25
256P100001366	44	KAPSULA PEGASTI	155000	DO-ČIŠČENJE	2,06667
256P100001366	54	KAPSULA PEGASTI	155000	DO-MEŠANJE	0,413333
256P100001642	120	KAPSULA VITALIS	12000	DO-TEHTANJE	0,4
256P100001642	140	KAPSULA VITALIS	12000	DO-KAPSULIRANJE	1,6
256P100001642	150	KAPSULA VITALIS	12000	DO-ČIŠČENJE	0,4
256P100001642	130	KAPSULA VITALIS	12000	DO-MEŠANJE	0,1
256P100001653	120	KAPSULA VITALIS	40000	DO-TEHTANJE	1,33333
256P100001653	130	KAPSULA VITALIS	40000	DO-KAPSULIRANJE	5,33333
256P100001653	140	KAPSULA VITALIS	40000	DO-ČIŠČENJE	1,33333
256P100001653	150	KAPSULA VITALIS	40000	DO-MEŠANJE	0,333333
